end_of_week,EUR,GBP,USD,AUD,CAD,CNY,HKD,INR,IDR,JPY,KRW,MYR,TWD,NZD,PHP,QAR,SAR,CHF,THB,AED,VND
2008-01-04,2.1139,2.8274,1.434,1.2602,1.4504,19.71,18.38,3.6475,0.015222,1.3141,0.1531,43.67,4.4209,1.1045,3.4959,39.39,38.23,1.2904,4.2851,39.04,0.008967
2008-01-11,2.1152,2.8028,1.4282,1.2774,1.4136,19.66,18.3,3.6341,0.015185,1.3076,0.1525,43.86,4.3965,1.1181,3.5188,39.23,38.08,1.2972,4.3076,38.88,0.008932
2008-01-18,2.1064,2.8337,1.4388,1.2581,1.3984,19.85,18.43,3.6587,0.015182,1.3439,0.1518,43.84,4.4541,1.0962,3.505,39.51,38.37,1.3042,4.3534,39.17,0.008999
2008-01-25,2.1004,2.814,1.4231,1.2579,1.4149,19.74,18.22,3.6151,0.015237,1.3278,0.1504,43.89,4.4058,1.0982,3.4816,39.08,37.95,1.3078,4.3046,38.75,0.008904
2008-02-01,2.1066,2.821,1.4164,1.2708,1.4137,19.72,18.17,3.599,0.015396,1.332,0.1501,43.78,4.4233,1.116,3.4964,38.92,37.79,1.3094,4.2999,38.58,0.00887
2008-02-06,2.0779,2.7895,1.4194,1.2726,1.4088,19.74,18.2,3.5798,0.01537,1.3314,0.1504,43.92,4.4353,1.1103,3.4948,39.01,37.85,1.2926,4.3123,38.65,0.008893
2008-02-15,2.0697,2.7843,1.4142,1.2763,1.4148,19.69,18.13,3.569,0.015405,1.3113,0.1495,43.78,4.4586,1.1099,3.4577,38.88,37.71,1.2887,4.338,38.51,0.008861
2008-02-22,2.0844,2.7684,1.4077,1.2942,1.3916,19.71,18.05,3.5241,0.015339,1.31,0.1482,43.75,4.4953,1.1286,3.4583,38.7,37.54,1.2906,4.3495,38.33,0.008828
2008-02-29,2.1141,2.7692,1.3929,1.3185,1.4245,19.57,17.91,3.4875,0.01537,1.3292,0.1485,43.68,4.5325,1.1355,3.4431,38.31,37.2,1.3314,4.3617,37.93,0.008743
2008-03-07,2.1325,2.7885,1.3866,1.2875,1.4077,19.51,17.81,3.4258,0.015305,1.3494,0.1448,43.69,4.509,1.1021,3.3989,38.12,36.99,1.3561,4.3928,37.76,0.008714
2008-03-14,2.1573,2.8078,1.3828,1.3036,1.4061,19.51,17.77,3.4088,0.01495,1.3774,0.1393,43.64,4.5023,1.1275,3.3288,38.03,36.95,1.3678,4.401,37.66,0.008717
2008-03-20,2.1625,2.7456,1.3866,1.2696,1.3665,19.66,17.83,3.4343,0.015096,1.3972,0.1367,43.63,4.51,1.1111,3.3432,38.13,36.98,1.3852,4.4336,37.76,0.008754
2008-03-28,2.1809,2.7717,1.3809,1.2722,1.3582,19.69,17.75,3.4449,0.014985,1.3851,0.1392,43.05,4.5484,1.1115,3.3008,37.95,36.81,1.3906,4.3901,37.6,0.008569
2008-04-04,2.167,2.7604,1.3842,1.2628,1.3761,19.72,17.77,3.4594,0.015013,1.3487,0.1422,43.34,4.551,1.0838,3.3174,38.04,36.91,1.3668,4.3697,37.69,0.00859
2008-04-11,2.1429,2.6835,1.3586,1.2666,1.3351,19.41,17.44,3.4036,0.014788,1.332,0.1393,43.1,4.489,1.0847,3.2627,37.34,36.22,1.3494,4.2953,36.99,0.00843
2008-04-18,2.1506,2.6911,1.3525,1.2678,1.3411,19.35,17.35,3.4059,0.014713,1.3215,0.1349,42.98,4.4663,1.0706,3.2245,37.16,36.06,1.3455,4.3024,36.83,0.008393
2008-04-25,2.1314,2.6817,1.3581,1.2776,1.3396,19.42,17.43,3.3792,0.014724,1.3026,0.1363,43.12,4.4772,1.0698,3.2282,37.31,36.21,1.3126,4.2944,36.98,0.008426
2008-05-02,2.1047,2.6909,1.3622,1.2694,1.3365,19.49,17.47,3.3562,0.014749,1.3011,0.1346,43.07,4.4712,1.0579,3.2177,37.41,36.32,1.2987,4.2958,37.09,0.008446
2008-05-09,2.1144,2.6855,1.373,1.291,1.3543,19.61,17.61,3.2914,0.014835,1.3267,0.1308,42.79,4.4587,1.0597,3.224,37.72,36.61,1.3087,4.3,37.38,0.008504
2008-05-16,2.1274,2.6778,1.375,1.2976,1.3734,19.67,17.63,3.2262,0.014793,1.3135,0.1318,42.26,4.4799,1.05,3.2152,37.77,36.66,1.3023,4.2478,37.44,0.008504
2008-05-23,2.1421,2.6952,1.3616,1.304,1.38,19.61,17.45,3.1787,0.014581,1.3084,0.1302,42.33,4.4684,1.0697,3.1355,37.4,36.3,1.3212,4.2464,37.07,0.008405
2008-05-30,2.1184,2.6977,1.3651,1.3044,1.3801,19.66,17.49,3.2075,0.014647,1.2944,0.133,42.09,4.4885,1.0656,3.1184,37.49,36.4,1.3018,4.2055,37.17,0.008403
2008-06-06,2.1293,2.6764,1.3665,1.3112,1.3437,19.74,17.5,3.1916,0.014649,1.2876,0.1335,41.94,4.5045,1.0484,3.093,37.54,36.44,1.3152,4.1447,37.2,0.008392
2008-06-13,2.1303,2.6859,1.3785,1.2947,1.3479,19.97,17.65,3.217,0.014792,1.2788,0.1332,42.1,4.5341,1.0326,3.1082,37.86,36.76,1.3245,4.159,37.53,0.008299
2008-06-20,2.121,2.6947,1.3673,1.2995,1.347,19.87,17.52,3.1827,0.014728,1.2672,0.1331,41.96,4.504,1.0408,3.0816,37.55,36.46,1.3106,4.0803,37.23,0.008231
2008-06-27,2.1469,2.7104,1.3646,1.307,1.3484,19.89,17.49,3.1835,0.014808,1.2745,0.1305,41.79,4.4882,1.0335,3.0769,37.48,36.39,1.3317,4.0643,37.15,0.008102
2008-07-04,2.1389,2.7004,1.3609,1.308,1.3383,19.84,17.45,3.1466,0.01476,1.2754,0.1297,41.65,4.4749,1.029,2.9903,37.38,36.29,1.3269,4.0721,37.05,0.008078
2008-07-11,2.1483,2.6913,1.3602,1.3069,1.3474,19.9,17.43,3.1636,0.014844,1.2713,0.136,41.9,4.4707,1.032,2.9676,37.35,36.27,1.3244,4.038,37.03,0.008076
2008-07-18,2.1439,2.7028,1.3529,1.3146,1.3448,19.84,17.35,3.1688,0.014785,1.2717,0.1337,41.7,4.4593,1.0328,3.0412,37.16,36.08,1.3249,4.0476,36.83,0.008067
2008-07-25,2.1354,2.7031,1.3611,1.3033,1.3403,19.95,17.45,3.2155,0.014891,1.2724,0.1351,41.83,4.4728,1.0105,3.0874,37.39,36.3,1.3148,4.0703,37.06,0.008114
2008-08-01,2.1323,2.7152,1.3695,1.2829,1.3366,20.02,17.55,3.222,0.015082,1.2718,0.135,41.99,4.4675,0.998,3.1002,37.62,36.52,1.3058,4.0826,37.28,0.008171
2008-08-08,2.1281,2.6992,1.3986,1.2499,1.3244,20.38,17.91,3.313,0.015275,1.2745,0.1362,42.43,4.507,0.9803,3.1546,38.42,37.29,1.3077,4.1545,38.08,0.008456
2008-08-15,2.0892,2.6373,1.4139,1.2237,1.3257,20.59,18.1,3.312,0.015377,1.2842,0.136,42.31,4.5091,0.9875,3.1229,38.84,37.7,1.289,4.1862,38.49,0.00852
2008-08-22,2.0904,2.6357,1.4061,1.2331,1.3458,20.59,18.01,3.2361,0.015367,1.2902,0.1337,42.09,4.4859,1.0094,3.0802,38.62,37.49,1.2906,4.1472,38.28,0.00847
2008-08-29,2.0876,2.5933,1.416,1.2238,1.347,20.71,18.14,3.2362,0.015472,1.2978,0.1302,41.75,4.4915,0.9969,3.0846,38.9,37.76,1.2932,4.1422,38.55,0.008569
2008-09-05,2.051,2.5252,1.4364,1.1737,1.3454,21.0,18.4,3.2304,0.015387,1.3453,0.1283,41.54,4.5035,0.9572,3.065,39.46,38.3,1.2934,4.1569,39.11,0.008658
2008-09-12,2.0133,2.5289,1.438,1.1541,1.3382,21.01,18.44,3.1463,0.015209,1.3429,0.1295,41.59,4.4851,0.9399,3.0592,39.5,38.34,1.2658,4.1375,39.15,0.008668
2008-09-19,2.039,2.5902,1.4348,1.1661,1.3499,20.99,18.43,3.0966,0.015308,1.3409,0.126,41.44,4.4568,0.9689,3.0753,39.41,38.26,1.2843,4.1972,39.06,0.008571
2008-09-26,2.0867,2.622,1.4222,1.1885,1.3765,20.82,18.28,3.0757,0.015178,1.3437,0.1228,41.43,4.4401,0.9773,3.0523,39.05,37.85,1.312,4.1879,38.72,0.008573
2008-10-03,2.0052,2.5609,1.4484,1.1283,1.3435,21.16,18.64,3.0729,0.015359,1.3781,0.1184,41.67,4.5025,0.9591,3.0693,39.77,38.55,1.2794,4.2388,39.43,0.008731
2008-10-10,2.0084,2.5134,1.4823,0.9817,1.2766,21.7,19.09,3.0231,0.015191,1.4999,0.1063,42.21,4.5687,0.8818,3.1007,40.7,39.42,1.3202,4.3096,40.35,0.00894
2008-10-17,1.9906,2.5629,1.4787,1.0259,1.2537,21.64,19.06,3.0398,0.015089,1.4558,0.1095,41.95,4.5406,0.9135,3.0803,40.61,39.23,1.3001,4.3136,40.26,0.008902
